W36,32517,33435,34368,35318,36284,37266,38266,39282,40315,41365,42432,43517,44619,45738,46875,48030,49203,50394,51603,52830,54076,55340,56623,57925,59246
W37,21108,21703,22309,22926,23553,24191,24839,25499,26169,26851,27544,28248,28963,29690,30428,31178,31939,32712,33497,34294,35102,35923,36756,37601,38458
W38,45210,46485,47783,49103,50447,51813,53202,54615,56051,57511,58995,60503,62035,63591,65172,66778,68408,70064,71745,73452,75184,76941,78725,80535,82371
W39,13281,13656,14037,14425,14820,15221,15629,16044,16466,16895,17331,17774,18224,18681,19145,19617,20096,20583,21076,21578,22086,22603,23127,23659,24198
W40,13152,13523,13900,14284,14675,15072,15477,15888,16305,16730,17162,17600,18046,18499,18959,19426,19900,20382,20871,21367,21871,22382,22901,23428,23962
W41,14529,14939,15356,15780,16212,16651,17097,17551,18013,18482,18959,19444,19936,20436,20944,21460,21984,22516,23057,23605,24162,24726,25300,25881,26471
W42,20512,21091,21679,22278,22888,23508,24138,24779,25431,26093,26766,27450,28145,28852,29569,30297,31037,31788,32551,33325,34111,34909,35718,36539,37372
W43,24747,25445,26155,26878,27613,28361,29121,29895,30681,31480,32292,33117,33956,34808,35673,36552,37445,38351,39271,40205,41153,42116,43092,44083,45088
W44,11217,11533,11855,12183,12516,12855,13200,13550,13906,14269,14637,15011,15391,15777,16169,16568,16972,17383,17800,18224,18653,19089,19532,19981,20437
W45,23761,24431,25113,25807,26513,27231,27961,28704,29459,30226,31006,31798,32604,33422,34253,35096,35953,36824,37707,38604,39514,40438,41376,42327,43292
W46,19750,20307,20874,21451,22038,22635,23242,23859,24486,25124,25772,26431,27100,27780,28471,29172,29885,30608,31342,32088,32844,33612,34392,35182,35985
W47,7173,7375,7581,7790,8004,8220,8441,8665,8893,9124,9360,9599,9842,10089,10340,10595,10853,11116,11383,11653,11928,12207,12490,12777,13069
W48,8167,8397,8631,8870,9113,9359,9610,9866,10125,10389,10657,10929,11206,11487,11773,12063,12357,12656,12960,13268,13581,13899,14221,14548,14879
W49,16675,17146,17624,18111,18607,19111,19623,20144,20674,21212,21760,22316,22881,23455,24038,24630,25232,25843,26463,27092,27731,28379,29037,29705,30382
W50,32988,33918,34865,35829,36809,37806,38819,39850,40898,41963,43046,44146,45264,46400,47553,48725,49915,51123,52350,53595,54859,56141,57443,58763,60103
W51,30451,31310,32184,33073,33978,34898,35834,36785,37753,38736,39735,40751,41783,42831,43896,44978,46076,47191,48323,49473,50639,51823,53025,54244,55481
W52,66312,68182,70086,72022,73992,75996,78034,80106,82213,84354,86530,88742,90989,93272,95591,97946,100338,102766,105232,107735,110275,112854,115470,118125,120818
W53,35281,36277,37289,38320,39368,40434,41518,42621,43742,44881,46039,47216,48411,49626,50860,52113,53385,54677,55989,57321,58673,60044,61436,62849,64282
W54,24948,25651,26368,27096,27837,28591,29358,30137,30930,31736,32554,33386,34232,35091,35963,36849,37749,38663,39590,40532,41488,42458,43442,44441,45454
W55,20117,20685,21262,21850,22447,23055,23673,24302,24941,25591,26251,26922,27604,28296,29000,29714,30440,31177,31925,32684,33455,34237,35031,35836,36653
W56,28079,28871,29677,30497,31331,32179,33042,33920,34812,35718,36640,37576,38528,39495,40476,41474,42486,43515,44559,45619,46694,47786,48894,50018,51159
W57,17151,17635,18127,18628,19138,19656,20183,20719,21264,21818,22380,22952,23534,24124,24724,25333,25952,26580,27218,27865,28522,29189,29866,30552,31249
W58,31840,32738,33652,34582,35528,36490,37468,38463,39475,40503,41548,42610,43689,44785,45898,47029,48177,49343,50527,51729,52949,54187,55443,56718,58011
W59,42743,43949,45176,46424,47694,48986,50299,51635,52993,54373,55776,57202,58650,60122,61616,63134,64676,66242,67831,69444,71082,72744,74430,76141,77877
W60,26096,26832,27581,28343,29119,29907,30709,31525,32354,33196,34053,34923,35807,36706,37618,38545,39487,40442,41413,42398,43397,44412,45442,46486,47546
W61,26909,27668,28440,29226,30025,30838,31665,32506,33361,34230,35113,36011,36922,37849,38790,39745,40716,41702,42702,43718,44749,45795,46857,47934,49027
W62,46054,47353,48675,50020,51388,52780,54195,55634,57097,58584,60096,61631,63192,64778,66388,68024,69685,71372,73084,74822,76587,78377,80194,82038,83908
W63,53572,55083,56620,58185,59777,61395,63042,64716,66418,68147,69906,71692,73508,75352,77225,79128,81060,83022,85014,87036,89089,91172,93285,95430,97606
W64,19497,20047,20607,21176,21756,22345,22944,23553,24173,24802,25442,26093,26753,27424,28106,28799,29502,30216,30941,31677,32424,33182,33951,34732,35524
W65,42561,43762,44983,46226,47491,48777,50085,51415,52767,54141,55538,56957,58400,59865,61353,62865,64400,65959,67541,69148,70778,72433,74112,75816,77545
W66,42369,43564,44781,46018,47277,48557,49859,51183,52529,53897,55288,56701,58137,59595,61077,62582,64110,65662,67237,68836,70460,72107,73779,75475,77196
W67,28305,29103,29915,30742,31583,32438,33308,34193,35092,36006,36935,37879,38838,39812,40802,41807,42828,43865,44917,45986,47070,48171,49287,50421,51570
W68,13188,13560,13938,14324,14715,15114,15519,15931,16350,16776,17209,17649,18096,18550,19011,19479,19955,20438,20928,21426,21931,22444,22964,23492,24028
W69,57585,59210,60863,62544,64255,65995,67765,69565,71394,73253,75143,77064,79015,80998,83012,85057,87134,89243,91384,93558,95764,98003,100275,102580,104919
W70,57871,59504,61165,62855,64575,66323,68102,69910,71749,73617,75517,77447,79408,81400,83424,85479,87567,89686,91838,94022,96239,98490,100773,103090,105440
